parent_product_id,review_count,review_text_count
0176496920,3,3
0201336421,2,2
0323043739,2,2
0439152917,2,2
0470494379,2,2
048668640x,2,2
0692466932,1,1
0740337971,1,1
0781773075,1,1
0781782384,1,1
0781782422,1,1
0781786606,1,1
079451524x,13,13
0859538354,1,1
0898625688,3,3
0954751302,1,1
0973941111,2,2
0981975364,1,1
0996071105,1,1
0999158317,2,2
099915835x,2,2
1400030846,7,7
1438005199,1,1
1454703490,3,3
1465460268,2,2
1469416247,1,1
1483800733,2,2
149518904x,1,1
1556432461,2,2
1572227575,8,8
1580628427,2,2
1587790068,1,1
1587790076,1,1
1587790165,1,1
1587790211,1,1
1587790459,2,2
1587790548,1,1
1587790629,3,3
1587790637,4,4
1587790904,3,3
1587791064,2,2
1587791129,1,1
1587791161,2,2
1587791277,1,1
1587791382,1,1
1587791900,1,1
1587792052,2,2
1587793997,1,1
1587794446,1,1
1587795655,1,1
1587796139,1,1
158779683x,1,1
158779800x,6,6
1587799138,1,1
1587799383,1,1
1587799839,2,2
1605470953,1,1
1891129732,6,6
1935502948,1,1
1976183820,1,1
4902897563,1,1
6565984549,4,4
6989253452,2,2
741899981x,2,2
7502178058,2,2
750803855x,1,1
841040012x,2,2
9178893593,1,1
979238328x,1,1
9820695872,1,1
994991812x,1,1
b000003cmz,1,1
b00000io8m,1,1
b0000223bg,1,1
b0000223x4,1,1
b00002240r,4,4
b0000224pz,3,3
b0000224ur,1,1
b0000225g0,1,1
b0000225gh,1,1
b0000225gw,1,1
b0000225gx,1,1
b0000225h3,1,1
b0000225h6,1,1
b0000225hg,1,1
b0000225hn,1,1
b0000225ht,1,1
b0000225in,1,1
b0000225j6,1,1
b00002267u,9,9
b00002267x,2,2
b00002269p,1,1
b00002n522,1,1
b00002n5d9,1,1
b00002n5dw,2,2
b00002n5fk,2,2
b00002n5pf,3,3
b00002n630,8,8
b00002n7ip,4,4
b00002n8d1,2,2
b00002n9g5,1,1
b00002na0p,3,3
b00002nabr,2,2
b00002narn,2,2
b00002nc5v,12,12
b00002ncoi,1,1
b00002nd40,2,2
b00002nd4a,1,1
b00002nd4b,1,1
b0000302ti,18,18
b0000302tx,1,1
b00004r9kg,1,1
b00004r9l0,1,1
b00004r9l1,2,2
b00004r9l2,2,2
b00004r9l3,1,1
b00004r9u1,12,12
b00004ranz,2,2
b00004rao0,1,1
b00004rao1,4,4
b00004rao8,7,7
b00004rao9,1,1
b00004rfnt,1,1
b00004rhal,37,37
b00004rhan,14,14
b00004rhao,13,13
b00004rhki,1,1
b00004rhkl,2,2
b00004rhkn,1,1
b00004rhkp,1,1
b00004rhkv,11,11
b00004rhkw,12,12
b00004rhkx,7,7
b00004swke,1,1
b00004t7t9,2,2
b00004t7td,2,2
b00004t7uc,2,2
b00004t7ud,3,3
b00004t7uf,2,2
b00004t7ug,4,4
b00004t7uh,3,3
b00004t7vy,12,12
b00004t7w2,3,3
b00004t82n,10,10
b00004tbje,2,2
b00004tdu9,1,1
b00004thyx,2,2
b00004tqew,2,2
b00004udgq,1,1
b00004udi8,1,1
b00004udki,1,1
b00004wcck,3,3
b00004wcco,3,3
b00004wlk6,17,17
b00004wlk8,3,3
b00004wlkb,1,1
b00004wll4,1,1
b00004xsb4,1,1
b00004y68w,11,11
b00004y68y,20,20
b00004y68z,4,4
b00004y690,4,4
b00004y691,1,1
b00004y692,20,20
b00004y693,2,2
b00004ykd4,3,3
b00004ymdb,4,4
b00004ymdf,1,1
b00004ymdi,2,2
b00004ymdj,8,8
b00004ymdk,25,24
b00004ymdl,5,5
b00004ymdm,6,6
b00004ymdn,3,3
b00004ymdq,3,3
b00004yobm,2,2
b00004yobt,2,2
b00004yoiv,3,3
b00004yoiw,1,1
b00004yoiz,5,5
b00004yojx,4,4
b00004yojz,2,2
b00004yok8,2,2
b00004yokh,5,5
b00004yosb,1,1
b00004ysw1,1,1
b00004ysw8,7,7
b00004yvh8,1,1
b00004yvhl,2,2
b00004yvhp,2,2
b00004yvi4,2,2
b00004yvi5,9,9
b00004yvi6,1,1
b00004yvim,3,3
b00004yycs,1,1
b00004yycw,4,4
b00004yyd0,2,2
b00004yyd2,16,16
b00004yyd3,1,1
b00004yyd5,2,2
b00004yyd6,1,1
b00004yyd7,1,1
b00004yyd9,4,4
b00004yydb,1,1
b00004yydc,2,2
b00004yydd,1,1
b00004yyde,1,1
b00004yydg,1,1
b00004yzqh,2,2
b00004yzqk,1,1
b00004yzql,3,3
b00004yzqo,4,4
b00004yzqp,15,15
b00004yzqs,2,2
b00004yzqu,7,7
b00004yzqv,1,1
b00004yzqw,5,5
b00004yzqx,2,2
b00004yzr2,1,1
b00004yzr9,1,0
b00004z2em,1,1
b00004z2gy,1,1
b00004z49q,1,1
b00004z4bt,1,1
b00004z4cw,2,2
b00004z5zs,2,2
b000051wtw,5,5
b00005202v,3,3
b00005axi1,7,7
b00005bax7,2,2
b00005jrky,1,1
b00005jrl3,1,1
b00005jrl4,1,1
b00005jrlb,6,6
b00005jrlc,1,1
b00005jrle,2,2
b00005jrlf,4,4
b00005m06j,2,2
b00005m06l,1,1
b00005nmty,1,1
b00005rdzt,1,1
b00006hyvq,1,1
b00006hywd,2,2
b00006i9v5,1,1
b00006iaor,12,12
b00006iaup,3,3
b00006iavc,3,3
b00006ibjv,5,5
b00006ic2k,11,11
b00006if7f,1,1
b00006if7j,1,1
b00006if7l,1,1
b00006rgko,1,1
b00006rgkq,1,1
b00006rgkr,1,1
b00006rswt,16,16
b00006xy3h,1,1
b00006xy3i,2,2
b00007cw5i,1,1
b00007e7s1,4,4
b00007lb0n,1,1
b00008b4ro,1,1
b00008cmrb,8,8
b00008ihtl,2,2
b00008j4c8,4,4
b00008vf46,1,1
b000093kzl,1,1
b00009efex,48,48
b00009k77k,9,9
b00009kh3u,1,1
b00009l1wf,2,2
b00009p907,1,1
b00009p909,1,1
b00009ut9z,2,2
b00009v3uz,6,6
b00009v3vg,3,3
b00009w3f2,17,16
b00009w3gv,1,1
b00009w3gw,1,1
b00009w5w0,1,1
b0000a605h,15,15
b0000aoy69,1,1
b0000atyse,4,4
b0000awy20,1,1
b0000awymh,3,3
b0000awz6w,1,1
b0000ax385,4,4
b0000ax3ex,2,2
b0000ax3yj,4,4
b0000ax3yv,1,1
b0000ax660,1,1
b0000ax663,1,1
b0000ax6gd,1,1
b0000ax73b,1,1
b0000ax7wz,1,1
b0000ax82t,1,1
b0000ax8mh,1,1
b0000ax9ij,1,1
b0000ax9js,1,1
b0000ax9jw,1,1
b0000axcm8,1,1
b0000axcul,1,1
b0000axelk,1,1
b0000axqlw,1,1
b0000axs0q,9,9
b0000axu3d,2,2
b0000axyzg,4,4
b0000ay4b7,1,1
b0000ay9fn,1,1
b0000ayb04,1,1
b0000az81p,1,1
b0000az9hg,1,1
b0000bvfut,2,2
b0000byeqy,4,4
b0000c529r,4,4
b0000c6g1c,2,2
b0000c6hnc,2,2
b0000cbih9,11,11
b0000cbihf,3,3
b0000cbipv,6,6
b0000cbj7w,13,13
b0000cbj7x,4,4
b0000cbj8e,4,4
b0000cezac,1,1
b0000cf47o,2,2
b0000cflyj,3,3
b0000dczl8,1,1
b0000dczrc,1,1
b0000dd007,1,1
b0000dd0hl,1,1
b0000dd0kc,1,1
b0000dd0kd,3,3
b0000dd0ke,2,2
b0000dd0kg,1,1
b0000dd0ll,1,1
b0000dd0p0,1,1
b0000dd0t7,1,1
b0000dd0tp,1,1
b0000dd0va,17,17
b0000dd0x2,1,1
b0000dd188,1,1
b0000dd1d3,1,1
b0000dd1dd,2,2
b0000dd1df,4,4
b0000dd1e1,1,1
b0000dd1e3,5,5
b0000dd1ea,1,1
b0000dd1fo,1,1
b0000dd1gd,1,1
b0000dd1gg,2,2
b0000dd1qf,1,1
b0000dd1qg,2,2
b0000dd1tz,1,1
b0000dd23n,5,5
b0000dd2az,1,1
b0000dd2bi,1,1
b0000dd2bj,1,1
b0000dd2bm,1,1
b0000dd2ir,1,1
b0000dd2rr,1,1
b0000dd2ww,1,1
b0000dd2wy,1,1
b0000dd4bs,3,3
b0000dd4cg,1,1
b0000dd4gr,1,1
b0000dd4h7,1,1
b0000dd4hc,1,1
b0000dd4hd,1,1
b0000dd4i0,1,1
b0000dd514,1,1
b0000dd599,1,1
b0000dd5gy,4,4
b0000dd5gz,1,1
b0000dd5h1,17,17
b0000dd5u3,4,4
b0000dd63f,1,1
b0000dd71c,1,1
b0000dd72b,1,1
b0000dd72c,1,1
b0000dd72e,1,1
b0000ddw5t,1,1
b0000di7wz,1,1
b0000di82k,2,2
b0000di82l,13,13
b0000di85v,2,2
b0000dj91t,2,2
b0000dyv8g,4,4
b0000dyvbs,1,1
b0000e6tj8,4,4
b0000ei99g,1,1
b0000tfgi2,2,2
b0000vbyj0,1,1
b0000vm44y,8,8
b0000vxsm6,1,1
b0000vyj0g,41,41
b0000ws8fw,1,1
b0000ws8t8,1,1
b0000ws8uw,1,1
b0000wt4dc,1,1
b0000wu0gc,1,1
b0000wu19s,1,1
b0000wu2vu,2,2
b0000wu2xi,1,1
b0000wum4c,2,2
b0000yhn9w,15,15
b00011q5qg,5,5
b00011q6my,1,1
b00012xcr0,5,5
b00012yclk,4,4
b00012yd96,5,5
b00012ydcs,1,1
b00012z124,1,1
b00012zq5q,5,5
b00013287e,1,1
b000132vda,3,3
b000132vh6,2,2
b000140ic0,1,1
b00015mfkc,1,1
b00015nmvs,1,1
b00015u5ya,1,1
b0001659qi,2,2
b000172zd2,4,4
b000189rle,1,1
b00018a218,1,1
b00018aleq,17,17
b00018alhi,1,1
b00018u1j6,3,3
b0001cumzu,1,1
b0001dz8v2,1,1
b0001fflqm,1,1
b0001fflui,6,6
b0001ffm3o,1,1
b0001fscsg,1,1
b0001iw55y,3,3
b0001lontc,46,46
b0001p0dkg,1,1
b0001sr4nm,1,1
b0001wap5c,1,1
b0001x0f56,2,2
b0001x2202,1,1
b0001x9ig8,1,1
b0001xgq2c,1,1
b0001yiuzc,5,5
b0001yxdj0,1,1
b0001yxxmw,1,1
b0001z94ba,7,7
b0001zpx3i,1,1
b000208dzc,3,3
b00020jo8w,2,2
b0002198gy,6,6
b00021lj9i,1,1
b000221g3q,1,1
b0002227hu,1,1
b000227ch0,1,1
b00022upro,1,1
b00022upry,1,1
b00022upv0,1,1
b00023jk88,1,1
b00023rtxg,2,2
b00023scua,4,4
b00023sef8,3,3
b00023seje,3,3
b0002438na,1,1
b000244yaq,1,1
b000244yb0,1,1
b00025674g,3,3
b00025674q,2,2
b00025676e,3,3
b00025676y,1,1
b00025zbos,2,2
b00026kg74,1,1
b00026snce,1,1
b0002738jq,6,6
b00027grjo,4,4
b00027grk8,1,1
b00027gv18,1,1
b00027lgou,1,1
b000287ulm,1,1
b000288lho,2,2
